run_id,seed,w1,w2,w3,w4,avgDelay_ms,deliveryRatio_pct,throughput_kbps,avgHopCount,convergenceTime_ms,flowDelayAvg_ms
1,275,,,,,NA,NA,NA,NA,NA,NA
2,276,,,,,NA,NA,NA,NA,NA,NA
3,277,,,,,NA,NA,NA,NA,NA,NA
4,278,,,,,NA,NA,NA,NA,NA,NA
5,279,,,,,NA,NA,NA,NA,NA,NA
6,280,,,,,NA,NA,NA,NA,NA,NA
7,281,,,,,NA,NA,NA,NA,NA,NA
8,282,,,,,NA,NA,NA,NA,NA,NA
9,283,,,,,NA,NA,NA,NA,NA,NA
10,284,,,,,NA,NA,NA,NA,NA,NA
11,285,0.2858,0.1313,0.1397,0.4432,NA,NA,NA,NA,NA,NA
12,286,0.4063,0.1268,0.2453,0.2216,NA,NA,NA,NA,NA,NA
13,287,0.2484,0.1060,0.2229,0.4228,NA,NA,NA,NA,NA,NA
14,288,0.4140,0.0945,0.2658,0.2258,NA,NA,NA,NA,NA,NA
15,289,0.2430,0.3040,0.2763,0.1767,NA,NA,NA,NA,NA,NA
16,290,0.1645,0.1993,0.5137,0.1225,NA,NA,NA,NA,NA,NA
17,291,0.2164,0.4866,0.2005,0.0966,NA,NA,NA,NA,NA,NA
18,292,0.3881,0.1007,0.0629,0.4483,NA,NA,NA,NA,NA,NA
19,293,0.1451,0.2678,0.3036,0.2835,NA,NA,NA,NA,NA,NA
20,294,0.1369,0.3254,0.4757,0.0619,NA,NA,NA,NA,NA,NA
21,295,0.5519,0.2858,0.1003,0.0620,NA,NA,NA,NA,NA,NA
22,296,0.1161,0.4780,0.3563,0.0496,NA,NA,NA,NA,NA,NA
23,297,0.5069,0.0422,0.3464,0.1045,NA,NA,NA,NA,NA,NA
24,298,0.4722,0.4303,0.0288,0.0687,NA,NA,NA,NA,NA,NA
25,299,0.1974,0.1784,0.3232,0.3010,NA,NA,NA,NA,NA,NA
26,300,0.3039,0.3131,0.1113,0.2717,NA,NA,NA,NA,NA,NA
27,301,0.0638,0.2352,0.6980,0.0030,NA,NA,NA,NA,NA,NA
28,302,0.0308,0.4156,0.3390,0.2146,NA,NA,NA,NA,NA,NA
29,303,0.3627,0.2815,0.2097,0.1461,NA,NA,NA,NA,NA,NA
30,304,0.4859,0.1480,0.0569,0.3092,NA,NA,NA,NA,NA,NA
31,305,0.1881,0.2619,0.3574,0.1926,NA,NA,NA,NA,NA,NA
32,306,0.2898,0.0824,0.3171,0.3107,NA,NA,NA,NA,NA,NA
33,307,0.3351,0.1621,0.3194,0.1834,NA,NA,NA,NA,NA,NA
34,308,0.3261,0.2092,0.1432,0.3214,NA,NA,NA,NA,NA,NA
35,309,0.3192,0.3183,0.1250,0.2376,NA,NA,NA,NA,NA,NA
36,310,0.3114,0.1386,0.1228,0.4271,NA,NA,NA,NA,NA,NA
37,311,0.0470,0.4540,0.1094,0.3896,NA,NA,NA,NA,NA,NA
38,312,0.4386,0.0873,0.3182,0.1559,NA,NA,NA,NA,NA,NA
39,313,0.3211,0.3248,0.1933,0.1608,NA,NA,NA,NA,NA,NA
40,314,0.3555,0.2172,0.3188,0.1085,NA,NA,NA,NA,NA,NA
41,315,0.1796,0.5248,0.1858,0.1098,NA,NA,NA,NA,NA,NA
42,316,0.2534,0.0827,0.1695,0.4944,NA,NA,NA,NA,NA,NA
43,317,0.4346,0.3067,0.2310,0.0276,NA,NA,NA,NA,NA,NA
44,318,0.2846,0.3953,0.2862,0.0339,NA,NA,NA,NA,NA,NA
45,319,0.1797,0.2359,0.4501,0.1344,NA,NA,NA,NA,NA,NA
46,320,0.2023,0.1217,0.6214,0.0546,NA,NA,NA,NA,NA,NA
47,321,0.1886,0.2783,0.3599,0.1731,NA,NA,NA,NA,NA,NA
48,322,0.1431,0.3408,0.3161,0.2000,NA,NA,NA,NA,NA,NA
49,323,0.0792,0.3205,0.2708,0.3295,NA,NA,NA,NA,NA,NA
50,324,0.0669,0.1089,0.3913,0.4329,NA,NA,NA,NA,NA,NA
51,325,0.3135,0.3395,0.0523,0.2947,NA,NA,NA,NA,NA,NA
52,326,0.4056,0.2341,0.3221,0.0382,NA,NA,NA,NA,NA,NA
53,327,0.2961,0.2801,0.1782,0.2455,NA,NA,NA,NA,NA,NA
54,328,0.4101,0.3743,0.1196,0.0960,NA,NA,NA,NA,NA,NA
55,329,0.3660,0.3539,0.1108,0.1693,NA,NA,NA,NA,NA,NA
56,330,0.1518,0.2003,0.3604,0.2875,NA,NA,NA,NA,NA,NA
57,331,0.4208,0.1787,0.0865,0.3140,NA,NA,NA,NA,NA,NA
58,332,0.4002,0.1005,0.2962,0.2030,NA,NA,NA,NA,NA,NA
